text,label
"Most insensitive uncaring hospital I've ever been too. Not everyone comes in wanting drugs. Some want to be fixed. Very judgemental. And FYI, nurses, when you come out of a patients room and make jokes to other nurses about them, makes us patients watching you wonder if you do it to them too. Just saying.. Unprofessional. . grow up.. I got to say, after reading all the reviews of crappy service, and absolutely no changes obviously made. Does any of the higher ups read the reviews???? Or just don't care as long as they get their big paychecks????? WOW!!! Can you say ""HEARTLESS""",0
"My family and I were transported to GSRMC after our head on collision. They were amazing. My family included myself, my husband and our 4 young children ages 7, 4, 2 and 1. The staff took care of my kids like they were their own. My husband said nothing but good things about the ER staff that treated him. The staff that treated me were great too. They made sure both my husbands parents and my parents were with our children at all times. We also had a waiting room full of people and they were given their own waiting room. After my husband and I were admitted, they did everything in their power to get us a room together and our nurses even pushed our beds together. They were very empathetic with us and reminded us how the injuries would take time to heal but so would the mental aspects of our accident. People were there to answer any questions we had or our family members had. I can't say enough good things about our experience. This isn't my first experience with GSRMC either. All of our time spent there was met with friendly and knowledgeable staff.",4
"My husband broke his left humerus 2 years ago and was transported to this hospital because it was closer to his location. The orthopedics @ this hospital performed a surgery by placing a rod in his arm, and sent him home saying that “it would heal up just fine and he doesn’t need any more appointments unless there is a pain”. Dr. Snow, who is no longer there told my husband that his bone is going to heal up without any problems and he doesn’t need to come back unless he experiences pain. Well 5 months into the surgery the rod broke from the inside causing pain in the arm. We went back to the Orthopedics clinic for the check up to find out what was going on. At that time they took xrays and told my husband that his rod has broken and therefore he will need another surgery. So @ that time we told them what Dr Snow has told us how his bone was heeling fine and no further surgeries were required. Well the doctors @ the orthopedics were kept saying how they dont agree with Dr snow and how another surgery was necessary in order to fix the arm. At that time my husband and i were so confused and didn’t know what to do, because i am a stay home mom and he is the only one working. So we decided to get an opinions from different doctors who are in a different hospital other then samaritan. We were in a search of a good doctor, who wont provide us with misunderstandings. We found a orthopedic surgeon at Kaiser Permanente who is currently working with us. When my husband went there to see him @ Kaiser he explained to my husband everything that went wrong with his first surgery @ Samaritan. He also explained to us that there were many things that doctors @ samaritan should have done in order to heel the bone at first place. So, now unfortunately 2 years later my husband is going to have another surgery to fix his arm due to malpractice of the orthopedics surgeons @ smaratian. I feel like i should just sue the Smaritan hospital and there orthopedic surgeons for their malpractice and giving wrong information to their patients. We are the onces who will pay the price for their mistakes and the loss to my husband, who will not be able to work for @ least 3 months. I highly recommend avoiding this hospital and as well as there other locations. I am writing this review so another person doesn’t have to suffer like my husband is right now.",0
MY HUSBAND HAD SURGERY TODAY AT G.S. WE WERE TREATED WITH RESPECT AND HAD ABSOLUTELY THE BEST EXPERIENCE. EVERY STAFF MEMBER WAS HELPFUL AND PROFESSIONAL. THANK YOU FOR MAKING OUR SHORT STAY PLEASANT.,4
My mom had a procedure done here. She was helicoptered from Medford Oregon.,2
"My mom is a guest here, dementia stuff. Excellent staff, all. Very caring, clean facilities, and her team was awesome in their care of her. While visiting yesterday, we were treated to a complete double rainbow and a single. I am quite happy with this facility!",5
My mother expirenced harassment and unprofessional behavior from a male nurse at this hospital. I will be making sure that man is fired and if not I will make sure to make his name and actions public. Degenerate people prey on the sick.,0
"My Mother has had to be admitted into Good Samaritan Regional Medical Ctr. several times over the past 6 months for various illnesses and each time the staff including Doctors and Nurses have done and outstanding job of treating her ! I am very impressed by the staff at this facility and I would not hesitate to let them treat me if needed, as a matter of fact I have been treated there in the past with the same outstanding care !",5
"My mother-in-law was recently admitted with a broken hip, and I tried calling several times, but most of the time nobody bothers answering the phone, and whenever someone does answer on a rare occasion, the call gets dropped during the transfer. People who work in a hospital need to be more empathetic and understand the concern we have for family members who’ve been admitted there. They need to start giving a damn about their job and other people, rather than just thinking about themselves. I guarantee that if was one of their loved ones, they would care. If they’re incapable of this, it’s time for them to seek out some other profession.",1
My sister came into the emergency room because she was in labor and they got her into a room immediately. They have been so nice and informative and have been taking good care of my sister and her newborn. So thankful that we made it here! She is happy she had her child here.,5
"My son was taken in for a dog that attacked his face. I know social media plays a big part in todays society. Just wanted to say how great and amazing all the nurses, doctor and staff were. Beyond friendly and super caring and calming. It was a scary event seeing my 2 year old in a hospital bed but they really made the situation alot better for my little man. They even gave him a stuffed animal for him to take home. Thank you so much everyone who helped with my son. I have nothing but great reviews on how everything went .",5
My wife and daughter spent 4 hours in emergency. Before leaving and coming home to go to McMinnville emergency doctor. I will keep you updated on whether on not she is admitted. What a joke this hospital is.,1
"No accountability of their staff or doctors. Very difficult to reach administration staff. Absolute joke trying to deal with thier patient exceptions staff. Even when you can or do provide documentation backing up your complaint or issues they state sorry you feel that way. Facts are irrelevant when it comes to this company. Unfortunately they seem to hold a medical monopoly in both Linn and Benton counties. Even worse the state contracts with IHN , Inter community health network, as the only CCO for both counties. IHN is I. Fact a Samaritan based health insurance insurance company, handling medical/dental/mental. They are horrible to say the least. You'd be better going outside the area to get more professional care",0
No one answers the phone!,2
Not only were the desk people seriously rude but they were refusing to update me on anything i asked. I even asked the doctor and he was confused as to why they had kept the info from me when it was my client that was admitted,1
"NOT SAFE FOR NON-COVID. Went in to the ER for potential reaction after an iron infusion. No temp check at the entrance but they wanted me to sanitize my hands, which was strange. I was triaged and taken to a room. When I arrived at the room I asked the
 Nurse if they kept their Covid and non-Covid patients separated...she shrugged her shoulders and said “not really”, to which I said “I need to leave because I’m a high risk for severe Covid”. I asked her if I would be charged and she said “we’ll probably, you were triaged. Talk to the front desk”. I left and stopped at the front desk and asked, to which the man said “you have to talk to the nurse”. I informed him that she directed me to him. He gave me a phone number to call. I asked him how this ER expected to keep non-Covid patients safe if they don’t separate them...to which he shrugged his shoulders and told me to direct questions to the nurse. I left so fast and went to Salem.This ER is not safe in these times. If you have an option, choose anywhere else!",1
Only Hospital on the planet I think where the bathrooms and dining area and most waiting rooms are NOT wheelchair accessible. Kind of crazy for a Hospital.,1
